Species,Population,Name,Sex,Age,Subject #,Warmups,Test % Correct,1st Half % Correct,2nd Half % Correct
ruffed lemur,Duke Lemur Center,Grace,F,12.271232876712329,9,4,70,60,80
ruffed lemur,Duke Lemur Center,Diphda,F,19.17808219178082,10,5,66.66666666666666,60,75
ruffed lemur,Duke Lemur Center,Hunter,M,11.849315068493151,11,8,100,100,100
Song sparrow,Duke University,Bk-OR,M,unkown,1,4,10,0,20
Song sparrow,Duke University,FY-WW,M,unkown,2,4,10,20,0
Song sparrow,Duke University,G-BkBk,M,unkown,3,4,20,20,20
Song sparrow,Duke University,G-OO,M,unkown,4,4,20,20,20
Song sparrow,Duke University,G-PkPk,M,unkown,5,4,20,20,20
Song sparrow,Duke University,G-WG,M,unkown,6,4,50,20,80
Song sparrow,Duke University,O-BkBk,M,unkown,7,4,70,60,80
Song sparrow,Duke University,O-lBl lBl,M,unkown,8,4,50,0,100
Song sparrow,Duke University,O-PuPu,M,unkown,9,4,0,0,0
Song sparrow,Duke University,Pu-BkBk,M,unkown,10,4,20,20,20
Song sparrow,Duke University,Pu-RR,M,unkown,11,4,30,0,60
Song sparrow,Duke University,R-WdBl,M,unkown,12,4,40,60,20
Song sparrow,Duke University,W-OW,M,unkown,13,4,0,0,0
Song sparrow,Duke University,W-PkPk,M,unkown,14,4,10,0,20
Song sparrow,Duke University,W-PuW,M,unkown,15,4,20,20,20
Song sparrow,Duke University,W-RW,M,unkown,16,4,20,0,40
Song sparrow,Duke University,Y-BkBk,M,unkown,17,4,60,60,60
Song sparrow,Duke University,Y-dBldBl,M,unkown,18,4,40,20,60
Song sparrow,Duke University,Y-OO,M,unkown,19,4,30,20,40
Song sparrow,Duke University,Y-RY,M,unkown,20,4,10,0,20
Squirrel monkey,Kyoto University,Boo,M,18,1,14,20,20,20
Squirrel monkey,Kyoto University,Coboo,M,17,2,5,10,0,20
Squirrel monkey,Kyoto University,Gye,F,16,3,9,0,0,0
Squirrel monkey,Kyoto University,Lucca,F,14,4,14,20,20,20
Squirrel monkey,Kyoto University,Yaya,F,14,5,7,0,0,0
Squirrel monkey,Kyoto University,Homer,F,16,6,8,10,0,20
Squirrel monkey,Kyoto University,Roi,M,9,7,15,0,0,0
Squirrel monkey,Kyoto University,Kantaro,F,9,8,14,50,20,80
Squirrel monkey,Kyoto University,Sora,F,4,9,4,0,0,0
Squirrel monkey,Kyoto University,Sayuri,F,4,10,6,0,0,0
Squirrel monkey,"Living Links, University of St. Andrews",Rio,M,12,11,4,100,100,100
Squirrel monkey,"Living Links, University of St. Andrews",Jasmine,F,10,12,4,0,0,0
Squirrel monkey,"Living Links, University of St. Andrews",Toomi,F,6,13,4,20,20,20
Squirrel monkey,"Living Links, University of St. Andrews",Sancha,F,3,14,4,40,20,60
Squirrel monkey,"Living Links, University of St. Andrews",Cali,F,7,15,4,100,100,100
Squirrel monkey,"Living Links, University of St. Andrews",Elie,F,7,16,4,50,20,80
Squirrel monkey,"Living Links, University of St. Andrews",Tatu,F,11,17,4,80,80,80
Squirrel monkey,"Living Links, University of St. Andrews",Roca,F,9,18,4,80,100,60
Squirrel monkey,"Living Links, University of St. Andrews",Lexi,F,2,19,4,60,80,40
Swamp sparrow,Duke University,sw644,F,unkown,1,4,0,0,0
Swamp sparrow,Duke University,sw665,F,unkown,2,4,10,20,0
Swamp sparrow,Duke University,sw661,F,unkown,3,4,30,0,60
Swamp sparrow,Duke University,sw662,F,unkown,4,4,10,0,20
Swamp sparrow,Duke University,sw654,F,unkown,5,4,30,40,20
Swamp sparrow,Duke University,sw656,F,unkown,6,4,40,40,40
Swamp sparrow,Duke University,sw640,F,unkown,7,4,0,0,0
Swamp sparrow,Duke University,sw645,F,unkown,8,4,40,60,20
Swamp sparrow,Duke University,sw641,F,unkown,9,4,20,0,40
Swamp sparrow,Duke University,sw652,F,unkown,10,4,10,0,20
