Common.Name,Latin.Name,A.not.B.Y.N,Cylinder.Y.N,Task,Score,Composite.Score,Sex,Age,Population,Subject
marmoset,Callithrix jacchus,Y,Y,Cylinder.Task,31.9,46,M,9,University of Zurich,Juri
marmoset,Callithrix jacchus,Y,Y,Cylinder.Task,31.9,46,M,8,University of Zurich,Kaliper
marmoset,Callithrix jacchus,Y,Y,Cylinder.Task,31.9,46,F,12,University of Zurich,Kalium
marmoset,Callithrix jacchus,N,Y,Cylinder.Task,31.9,46,M,6,University of Zurich,Kantor
marmoset,Callithrix jacchus,Y,Y,Cylinder.Task,31.9,46,M,7,University of Zurich,Kapi
marmoset,Callithrix jacchus,Y,N,Cylinder.Task,31.9,46,M,7,University of Zurich,Kapo
marmoset,Callithrix jacchus,Y,Y,Cylinder.Task,31.9,46,F,4,University of Zurich,Venezia
marmoset,Callithrix jacchus,Y,Y,Cylinder.Task,31.9,46,F,5,University of Zurich,Venus
marmoset,Callithrix jacchus,Y,Y,Cylinder.Task,31.9,46,F,8,University of Zurich,Verona
marmoset,Callithrix jacchus,Y,Y,Cylinder.Task,31.9,46,F,8,University of Zurich,Vesta
marmoset,Callithrix jacchus,N,Y,Cylinder.Task,31.9,46,F,8,University of Zurich,Vreni
marmoset,Callithrix jacchus,Y,Y,A.not.B.Task,60,46,M,12,University of Zurich,Juniper
marmoset,Callithrix jacchus,Y,Y,A.not.B.Task,60,46,M,9,University of Zurich,Juri
marmoset,Callithrix jacchus,Y,Y,A.not.B.Task,60,46,M,8,University of Zurich,Kaliper
marmoset,Callithrix jacchus,Y,Y,A.not.B.Task,60,46,F,12,University of Zurich,Kalium
marmoset,Callithrix jacchus,N,Y,A.not.B.Task,60,46,M,6,University of Zurich,Kantor
marmoset,Callithrix jacchus,Y,Y,A.not.B.Task,60,46,M,7,University of Zurich,Kapi
marmoset,Callithrix jacchus,Y,N,A.not.B.Task,60,46,M,7,University of Zurich,Kapo
marmoset,Callithrix jacchus,Y,Y,A.not.B.Task,60,46,F,4,University of Zurich,Venezia
marmoset,Callithrix jacchus,Y,Y,A.not.B.Task,60,46,F,5,University of Zurich,Venus
marmoset,Callithrix jacchus,Y,Y,A.not.B.Task,60,46,F,8,University of Zurich,Verona
marmoset,Callithrix jacchus,Y,Y,A.not.B.Task,60,46,F,8,University of Zurich,Vesta
marmoset,Callithrix jacchus,N,Y,A.not.B.Task,60,46,F,8,University of Zurich,Vreni
Mongolian gerbil,Meriones unguiculatus,Y,Y,Cylinder.Task,68.900000000000006,44.4,M,2,UC Berkeley,Adlin
Mongolian gerbil,Meriones unguiculatus,N,Y,Cylinder.Task,68.900000000000006,44.4,F,1,UC Berkeley,Alti
Mongolian gerbil,Meriones unguiculatus,Y,Y,Cylinder.Task,68.900000000000006,44.4,M,1,UC Berkeley,Besh
Mongolian gerbil,Meriones unguiculatus,N,Y,Cylinder.Task,68.900000000000006,44.4,F,2,UC Berkeley,Chetryi
Mongolian gerbil,Meriones unguiculatus,Y,N,Cylinder.Task,68.900000000000006,44.4,F,1,UC Berkeley,Cuarenta
Mongolian gerbil,Meriones unguiculatus,N,Y,Cylinder.Task,68.900000000000006,44.4,F,2,UC Berkeley,Dva
Mongolian gerbil,Meriones unguiculatus,Y,N,Cylinder.Task,68.900000000000006,44.4,F,1,UC Berkeley,Fyorir
Mongolian gerbil,Meriones unguiculatus,Y,Y,Cylinder.Task,68.900000000000006,44.4,F,1,UC Berkeley,Ni
Mongolian gerbil,Meriones unguiculatus,Y,Y,Cylinder.Task,68.900000000000006,44.4,M,1,UC Berkeley,Ooch
Mongolian gerbil,Meriones unguiculatus,Y,Y,Cylinder.Task,68.900000000000006,44.4,F,1,UC Berkeley,Roku
Mongolian gerbil,Meriones unguiculatus,N,Y,Cylinder.Task,68.900000000000006,44.4,F,1,UC Berkeley,Sekkiz
Mongolian gerbil,Meriones unguiculatus,Y,Y,Cylinder.Task,68.900000000000006,44.4,M,2,UC Berkeley,Tri
Mongolian gerbil,Meriones unguiculatus,Y,N,Cylinder.Task,68.900000000000006,44.4,F,1,UC Berkeley,Tveir
Mongolian gerbil,Meriones unguiculatus,Y,Y,Cylinder.Task,68.900000000000006,44.4,F,1,UC Berkeley,Vente
Mongolian gerbil,Meriones unguiculatus,Y,Y,A.not.B.Task,20,44.4,M,2,UC Berkeley,Adlin
